,Adana,Adiyaman,Afyon,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce
Total area of settlements,12651335,5719833,12184973,9900759,4963307,22423173,17925124,5583504,7525771,12347307,3611197,6110527,5027025,6232385,6605395,9877890,9103090,7291600,11795238,11621248,13988899,5529955,7494168,10325060,23474718,13479713,6134922,5512460,5748038,4707077,4592365,7437766,13992014,4767418,10549844,8054222,12022056,14570635,5774266,5130443,3033668,35134918,11276445,11190124,12005481,12310164,5963380,10513982,7155222,4764547,6933827,5523557,2733681,4037093,8930333,4108979,4941581,24555100,5275557,9467441,4224059,4020962,15676861,5323021,15655493,11948423,3104081,6279108,2413091,8029978,4490386,3643529,2938166,1974758,4205190,2772977,667125,3399111,1369971,3066346,1975488
Area sown,4343429,2259426,3473945,2533072,1657062,6289150,1511928,192075,1608329,2775874,608915,378420,756698,735730,1381764,1288316,1894822,1116756,3669848,2845615,4734719,2971886,1287398,1209093,2362780,2131982,1707807,499949,493376,324457,1576319,1304199,2174248,900487,1559379,2880604,1608585,3217551,2230941,1754350,480617,12081595,1866058,1195269,3053674,2901576,2450000,1220997,1817710,2237277,1289667,466360,16642,698591,3023671,600298,899620,4291963,3117330,2296938,199886,250118,7221266,2151369,1886796,4916686,246445,2029428,386555,1944596,1404616,1041023,802043,196497,824880,532098,62447,306908,450580,1103654,161329
Vegetables and flower gardens,116164,80663,116457,6394,31524,252265,245118,46750,107482,324193,65068,27049,26396,18916,45009,333197,200903,57239,67342,58480,42397,56186,52117,13823,22801,28653,82100,39159,24948,31881,114676,55105,227234,66475,273199,1022,60646,82700,23137,21316,32937,427304,54531,28706,229432,50500,105502,66156,16249,103104,43274,26623,6861,43033,221194,26552,37356,58515,29146,125479,39515,5168,55851,42784,8168,23721,50441,45058,1535,50640,24805,39405,27043,26348,1235,33433,12070,30113,21485,38663,10886
Fruit orchards and other permanent crops,197900,265524,204662,191,52825,114149,355171,224026,1953578,580408,82408,26810,7754,21222,46072,569513,397386,16741,75719,390695,100571,19518,248131,18391,31245,9852,974362,1322837,20400,44878,478520,359846,761516,12753,1144497,12508,128316,253827,4781,17209,137447,397984,116821,669887,1268818,353531,264987,825335,2442,256505,153187,2106005,618472,759062,947738,64702,32233,48849,50661,97216,607456,13564,754602,75311,8650,58291,235582,52320,352,234209,31289,57106,29853,45063,3733,37541,56355,13320,272300,32811,552724
Poplar and willow land,11755,24370,21766,16166,9680,109394,62273,8726,9373,27510,6227,47940,28758,9135,16280,28070,9020,23325,36136,31710,11184,15196,30515,25563,71253,16321,13451,7752,27580,18057,3099,48663,8391,2200,15209,55577,25738,68517,31188,30989,37007,108428,21112,14631,16715,40615,51974,16167,11600,17510,8901,30407,637,39640,68588,10516,16628,123108,6701,17370,1446,17280,7863,23887,26334,34635,6472,27173,9522,10731,9065,702,2509,22080,3340,22855,606,6587,765,8138,9260
Unused and undeveloped potentially productive land,46509,135493,256473,158144,96107,694508,454599,145208,110016,336539,197455,305627,35657,281782,47860,557689,373301,508237,206568,161331,569450,26115,337693,424137,1350621,116259,125714,214334,416632,316390,52175,109789,257133,134195,391401,314753,627419,274206,114505,65145,247709,553360,102736,551604,339638,167445,187385,78750,47821,92230,193450,78796,23982,69437,135218,177344,346267,1158536,145896,162923,22583,340394,470466,72980,68501,117560,585369,62445,69382,113250,76388,41828,80145,306376,36635,320556,65271,264234,33495,23295,64550
Permanent meadow,20241,17685,164072,1907332,24759,135693,107803,572686,17660,71037,6806,1113409,163674,29999,69441,66880,74013,49437,54186,145417,143812,17888,49045,328175,973288,229136,2110,287921,670478,548939,6405,53602,17906,93920,34485,850257,78595,143731,37486,15314,26835,565356,110343,32291,20335,159475,29822,11550,1005305,39406,35940,78741,189975,46012,44387,82488,47538,433551,62142,73883,219892,144599,173250,24403,379687,67746,15069,26808,46060,58790,18144,29550,90,6650,431780,303821,8295,27812,632,14003,5949
Fallow land,166096,340844,868722,972385,216553,3654928,474663,15883,94545,192818,183943,72190,254981,216043,193025,339926,189074,458507,849847,322222,373017,26094,440826,261415,1246616,1220535,140483,100309,145207,41509,14930,200421,533820,19286,137462,750635,495011,1822500,47255,1022201,161543,3842010,520833,558093,249281,537219,88699,130888,626543,708704,458478,93809,67,101533,220834,115321,261642,2664611,14291,222010,128,204088,760397,36110,1010798,1901228,14193,610569,112559,482022,616444,49430,39853,38345,337775,145802,18056,275634,41805,26595,44610
Pasture land,478130,862211,3153587,3519980,494638,4483780,708571,1122042,285639,1251261,207166,2024301,2034724,877165,597724,713240,592247,2277450,1752474,535157,1674215,862980,2640075,4166145,13511375,3209664,864721,912940,1008994,1116650,109239,491969,965509,168146,1062738,2278718,821051,5254449,610600,1276887,55502,6803161,814128,3602195,913415,2698982,727000,167233,2711046,528799,2855211,618537,574057,123708,423338,1109787,166912,10716427,577696,1186319,1326407,1122814,2973314,568650,4948928,1559873,63495,2107780,1061052,2108614,700666,389408,882830,47601,2026450,919490,22466,166964,162830,94338,67770
Forest and woodland,4955083,985636,2266547,136700,2085805,3221657,10975831,2615460,2512231,5494052,1739018,1724673,1239520,3759218,3140954,4981661,4479669,1775643,3863688,5122471,2654387,994968,1259887,2028390,1337131,3371787,1129207,1685771,1898794,782823,1613656,3434892,6561231,2339873,4635348,151600,7452423,751144,2341238,274695,1469540,4420612,6589249,1460330,4534632,3720635,935933,6922413,453700,100258,655431,1476331,1120469,1772195,3214805,1162214,2740021,2873046,947496,4682739,1528225,1225569,121398,1933003,77100,2318791,1736519,205464,220218,2058057,649605,770823,648950,1059996,222010,7500,309810,2139819,212675,1440100,934035
Non-agricultural land,1887373,672334,1147086,392100,205608,2480500,2607081,404721,431322,916022,447987,294680,363779,178392,910860,738694,592401,852448,885859,1070128,3408051,380180,1029698,1681257,2252819,2897217,950725,367836,540214,1446341,424728,1086316,2155461,273479,795825,451999,478367,2097137,179529,549515,219903,4275244,741117,2871286,1099199,1398525,989145,700846,310045,431754,1046271,366802,134321,128772,405441,711457,210429,1791765,107910,418107,199560,587469,2923191,215055,7136816,485137,83357,848463,454130,895970,854484,1190603,375930,49337,240557,368435,44374,62507,145551,170812,33913
village settlement land,428655,75647,511656,258295,88746,987149,422086,235927,395596,377593,66204,95428,115084,104783,156406,260704,300254,155817,333571,938022,277096,158944,118783,168671,314789,248307,144242,73652,501415,35152,198618,292964,329565,756604,500301,306549,245905,604873,153606,102822,164628,1659864,339517,205832,280342,281661,132933,373647,152761,249000,194017,181146,48198,255110,225119,48300,182935,394729,216288,184457,78961,109899,215263,179469,103715,464755,67139,263600,51726,73099,104880,33651,48920,176465,76795,81446,67375,105213,27853,113937,90462
